Site Name,Subsection Index,Latitude,Longitude,Rate,Rate Std Dev
"Frazier Mountian, SSAF",-1,34.8122,-118.9034,0.0067307,0.00205945
S. SAF- Carrizo Bidart,-1,35.23428,-119.78871,0.0087179,0.00260515
S. San Andreas - Burro Flats                         ,-1,33.973,-116.817,0.0048677,0.0013637
S. San Andreas - Coachella,-1,33.727352,-116.170074,0.0056037,0.0016968
S. San Andreas - Indio  ,-1,33.7414,-116.187,0.0036053,9.0305E-4
S. San Andreas - Pallett Creek,-1,34.4556,-117.887,0.006698,0.00140415
S. San Andreas - Pitman Canyon      ,-1,34.2544,-117.434,0.0057643,0.0014701
S. San Andreas - Plunge Creek   ,-1,34.1158,-117.137,0.0048695,0.00130185
S. SAF M. Creek - 1000 Palms,-1,33.82,-116.301,0.0038266,8.6635E-4
S. San Andreas - Wrightwood        ,-1,34.3697,-117.668,0.0094304,0.0015889
